# LeakReport
# from new @ |      size  # Pointer Addr
L 0x3b2ba7b3ba         128  # 0x9a4eb0
L 0x3b2ba7b3dc          16  # 0x9a4f80
L 0x3b2ba771d4          40  # 0x9a4f40
L 0x3b2bb71802          96  # 0x9bedc0
L 0x3b2ba771d4          40  # 0x9d06f0
L 0x3b2bb71802          96  # 0x9a7dd0
L 0x3b2ba7c97e          96  # 0x9a50b0
L 0x3b2ba771d4          40  # 0x9a5070
L 0x3b2ba79a84         192  # 0x9a4fa0
L 0x7fa16d70cd72          24  # 0xa1a870
L 0x7fa16ca42312          24  # 0xa0f680
L 0x3b2ba771d4          40  # 0xa49260
L 0x3b2bb71802          96  # 0xa43340
L 0x3b2bba07b2         136  # 0xa36ff0
L 0x3b2ba78994           8  # 0xa4a0e0
L 0x3b2ba771d4          40  # 0xa492e0
L 0x3b2ba78994           8  # 0xa50290
L 0x3b2ba78994           8  # 0xa50ef0
L 0x3b2bba07b2         136  # 0xa4a770
L 0x3b2ba771d4          40  # 0xa52410
L 0x3b2ba771d4          40  # 0xa52720
L 0x3b2ba78994           8  # 0xa52700
L 0x3b2ba78994           8  # 0xa53440
L 0x3b2ba78994           8  # 0xa53880
L 0x3b2ba78994           8  # 0xa53510
L 0x3b2ba771d4          40  # 0xa52e60
L 0x3b2ba771d4          40  # 0xa521c0
L 0x3b2bb71802          96  # 0xa0cd40
L 0x3b2ba78994           8  # 0xa562b0
L 0x3b2ba771d4          40  # 0xa565a0
L 0x3b2ba771d4          40  # 0xa56560
L 0x3b2ba78994           8  # 0xa56d50
L 0x3b2ba78994           8  # 0xa56aa0
L 0x3b2ba771d4          40  # 0xa567c0
L 0x3b2ba78994           8  # 0xa56f50
L 0x3b2ba78994           8  # 0xa571a0
L 0x3b2ba771d4          40  # 0xa571c0
L 0x3b2ba771d4          40  # 0xa56f70
L 0x3b2ba78994           8  # 0xa576c0
L 0x3b2ba78994           8  # 0xa57910
L 0x3b2ba771d4          40  # 0xa576e0
L 0x3b2ba771d4          40  # 0xa574c0
L 0x3b2ba771d4          40  # 0xa56d70
L 0x3b2ba78994           8  # 0xa57db0
L 0x3b2ba771d4          40  # 0xa57dd0
L 0x3b2ba771d4          40  # 0xa57b80
L 0x3b2ba78994           8  # 0xa57b60
L 0x3b2ba771d4          40  # 0xa57930
L 0x3b2ba78994           8  # 0xa601c0
L 0x3b2ba78994           8  # 0xa5fe20
L 0x3b2ba78994           8  # 0xa62a40
L 0x3b2ba771d4          40  # 0xa72570
L 0x3b2ba771d4          40  # 0xa72530
L 0x3b2ba771d4          40  # 0xa72820
L 0x3b2ba78994           8  # 0xa644a0
L 0x3b2ba78994           8  # 0xa60bd0
L 0x3b2ba771d4          40  # 0xa73770
L 0x3b2ba771d4          40  # 0xa730b0
L 0x3b2ba78994           8  # 0xa58cc0
L 0x3b2ba78994           8  # 0xa7b8b0
L 0x3b2ba771d4          40  # 0xa8ae30
L 0x3b2ba771d4          40  # 0xac7580
L 0x3b2ba771d4          40  # 0xad56e0
L 0x3b2ba78994           8  # 0xcfaf50
L 0x3b2ba771d4          40  # 0xcff0f0
L 0x3b2ba771d4          40  # 0xe115e0
L 0x3b2ba78994           8  # 0xd14b50
L 0x3b2ba78994           8  # 0xd12cb0
L 0x3b2ba78994           8  # 0xa775a0
L 0x3b2bb9a191        1080  # 0xa556f0
L 0x3b2ba78994           8  # 0xee09a0
L 0x3b2ba771d4          40  # 0xedfca0
L 0x3b2ba78994           8  # 0xecc300
L 0x3b2ba771d4          40  # 0x1039b40
L 0x3b2ba771d4          40  # 0x147e750
L 0x3b2ba771d4          40  # 0x1480410
L 0x3b2ba78994           8  # 0x14db550
L 0x3b2ba771d4          40  # 0x14c8c60
L 0x3b2ba78994           8  # 0x1644eb0
L 0x3b2ba78994           8  # 0x14f4410
L 0x3b2ba78994           8  # 0xf010d0
# total allocation requests:  10536 ; max. mem used 153 kBytes
# leak   5612 Bytes	:-(
WORK TIME - 00:00:38.45
